q_id,q_text,q_text_short,year_q,text_origin,q_type,trust_specific,down_good
71,"When errors, near misses or incidents are reported, my organisation takes action to ensure that they do not happen again (Agree/Strongly agree).","When errors, near misses or incidents are reported, my organisation takes action to ensure that they do not happen again (Agree/Strongly agree)",q19c,IQVIA_pos,scored,,
57,"We are given feedback about changes made in response to reported errors, near misses and incidents (Agree/Strongly agree).","We are given feedback about changes made in response to reported errors, near misses & incidents (Agree/Strongly agree)",q19d,IQVIA_pos,scored,,
134,"To what extent do you agree that the Trust actively considers the environment, such as improving resource efficiency, reducing carbon emissions and reducing waste (Strongly agree).","The Trust actively considers the environment, improving resource efficiency, reducing carbon emissions & reducing waste (Strongly agree)",RPGL04,IQVIA_pos,scored,RPG,
123,Time passes quickly when I am working (Often/Always).,Time passes quickly when I am working (Often/Always),q2c,IQVIA_pos,scored,,
73,This organisation offers me challenging work (Agree/Strongly agree).,This organisation offers me challenging work (Agree/Strongly agree),q24a,IQVIA_pos,scored,,
58,There are opportunities for me to develop my career in this organisation (Agree/Strongly agree).,There are opportunities for me to develop my career in this organisation (Agree/Strongly agree),q24b,IQVIA_pos,scored,,
110,There are frequent opportunities for me to show initiative in my role (Agree/Strongly agree).,There are frequent opportunities for me to show initiative in my role (Agree/Strongly agree),q3c,IQVIA_pos,scored,,
89,There are enough staff at this organisation for me to do my job properly (Agree/Strongly agree).,There are enough staff at this organisation for me to do my job properly (Agree/Strongly agree),q3i,IQVIA_pos,scored,,
116,The team I work in often meets to discuss the team's effectiveness (Agree/Strongly agree).,The team I work in often meets to discuss the team's effectiveness (Agree/Strongly agree),q7b,IQVIA_pos,scored,,
115,The team I work in has a set of shared objectives (Agree/Strongly agree).,The team I work in has a set of shared objectives (Agree/Strongly agree),q7a,IQVIA_pos,scored,,
105,The recognition I get for good work (Satisfied/Very satisfied).,The recognition I get for good work (Satisfied/Very satisfied),q4a,IQVIA_pos,scored,,
54,The people I work with show appreciation to one another (Agree/Strongly agree).,The people I work with show appreciation to one another (Agree/Strongly agree),q8d,IQVIA_pos,scored,,
70,The people I work with are understanding and kind to one another (Agree/Strongly agree).,The people I work with are understanding & kind to one another (Agree/Strongly agree),q8b,IQVIA_pos,scored,,
62,The people I work with are polite and treat each other with respect (Agree/Strongly agree).,The people I work with are polite & treat each other with respect (Agree/Strongly agree),q8c,IQVIA_pos,scored,,
55,The opportunities for flexible working patterns (Satisfied/Very satisfied).,The opportunities for flexible working patterns (Satisfied/Very satisfied),q4d,IQVIA_pos,scored,,
63,"The last time you experienced harassment, bullying or abuse at work, did you or a colleague report it (Yes).","The last time you experienced harassment, bullying or abuse at work, did you or a colleague report it (Yes)",,IQVIA_pos,scored,,
129,The extent to which my organisation values my work (Satisfied/Very satisfied).,The extent to which my organisation values my work (Satisfied/Very satisfied),q4b,IQVIA_pos,scored,,
77,Teams within this organisation work well together to achieve their objectives (Agree/Strongly agree).,Teams within this organisation work well together to achieve their objectives (Agree/Strongly agree),q8a,IQVIA_pos,scored,,
65,Team members understand each other's roles (Agree/Strongly agree).,Team members understand each other's roles (Agree/Strongly agree),q7d,IQVIA_pos,scored,,
124,Relationships at work are strained (Never/Rarely).,Relationships at work are strained (Never/Rarely),q5c,IQVIA_pos,scored,,
74,"On average, how many additional UNPAID hours do you work per week for this organisation, over and above your contracted hours (0 hours).","On average, how many additional UNPAID hours do you work per week for this organisation, over & above your contracted hours (0 hours)",q10c,IQVIA_pos,scored,,
75,"On average, how many additional PAID hours do you work per week for this organisation, over and above your contracted hours (0 hours).","On average, how many additional PAID hours do you work per week for this organisation, over & above your contracted hours (0 hours)",q10b,IQVIA_pos,scored,,
76,My team has enough freedom in how to do its work (Agree/Strongly agree).,My team has enough freedom in how to do its work (Agree/Strongly agree),q7f,IQVIA_pos,scored,,
56,"My organisation treats staff who are involved in an error, near miss or incident fairly (Agree/Strongly agree).","My organisation treats staff who are involved in an error, near miss or incident fairly (Agree/Strongly agree).",q19a,IQVIA_pos,scored,,
25,My organisation takes positive action on health and well-being (Agree/Strongly agree).,My organisation takes positive action on health & wellbeing (Agree/Strongly agree),q11a,IQVIA_pos,scored,,
90,My organisation is committed to helping me balance my work and home life (Agree/Strongly agree).,My organisation is committed to helping me balance my work & home life (Agree/Strongly agree),q6b,IQVIA_pos,scored,,
67,"My organisation encourages us to report errors, near misses or incidents (Agree/Strongly agree).","My organisation encourages us to report errors, near misses or incidents (Agree/Strongly agree)",q19b,IQVIA_pos,scored,,
59,My organisation acts on concerns raised by patients / service users (Agree/Strongly agree).,My organisation acts on concerns raised by patients / service users (Agree/Strongly agree),q25b,IQVIA_pos,scored,,
18,My level of pay (Satisfied/Very satisfied).,My level of pay (Satisfied/Very satisfied),q4c,IQVIA_pos,scored,,
121,My immediate manager works together with me to come to an understanding of problems (Agree/Strongly agree).,My immediate manager works together with me to come to an understanding of problems (Agree/Strongly agree),q9f,IQVIA_pos,scored,,
117,My immediate manager values my work (Agree/Strongly agree).,My immediate manager values my work (Agree/Strongly agree),q9e,IQVIA_pos,scored,,
119,My immediate manager takes effective action to help me with any problems I face (Agree/Strongly agree).,My immediate manager takes effective action to help me with any problems I face (Agree/Strongly agree),q9i,IQVIA_pos,scored,,
